MODEL,SN,LSET,RUN,JOB,EYE,DATETIME,LTYPE,INSDRSPH,INSDRCYL,INSDRAX,INSDRPRVM,INSDRPRVA,INSPRSPH,INSPRCYL,INSPRAX,INSPRPRVM,INSPRPRVA,INSNRSPH,INSNRCYL,INSNRAX,INSNRPRVM,INSNRPRVA,INSCTHK,INSDIA,INSGMC,INSAV,INSDOT,INSDBPH,INSDBPV,INSDBPA,FLAG,COMMENT
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV005,R,2018-05-03T09:44:00Z,NA,-2.373,0.432,92.05,1.024727281,41.20170478,-2.2695,0.615,92.999,1.416306464,-57.16268565,0.136,0.72,93.139,2.485787803,-69.02040861,1.167,64.454,0.041,0.024,0.101,-0.054,0.049,0.574,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV005,R,2018-05-03T09:44:00Z,NA,-2.374,0.434,92.068,0.953948112,41.81310243,-2.267,0.616,92.845,1.419212458,-60.07484941,0.136,0.724,93.277,2.499201873,-70.57904045,1.164,64.458,0.042,0.024,0.099,-0.052,0.048,0.568,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV005,R,2018-05-03T09:43:00Z,NA,-2.3725,0.431,91.959,1.004860687,41.8939729,-2.2685,0.613,93.06,1.40852831,-58.11534824,0.1345,0.719,92.931,2.480936315,-69.64397698,1.167,64.451,0.039,0.024,0.1,-0.054,0.048,0.564,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV006,R,2018-05-03T11:22:00Z,NA,0.0115,0.137,78.382,1.770550479,-93.0757181,0.631,0.334,159.689,1.496686006,-96.52197513,2.177,0.42,102.072,0.938467368,125.5021917,2.008,64.444,0.336,0.047,0.423,0.008,-0.271,0.418,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV006,R,2018-05-03T11:22:00Z,NA,0.008,0.14,78.887,1.785010084,-90.19259013,0.63,0.334,160.219,1.503293052,-93.16503102,2.1805,0.421,102.197,0.871732184,121.1553805,2.007,64.44,0.34,0.046,0.421,-0.022,-0.25,0.465,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV006,R,2018-05-03T11:21:00Z,NA,0.01,0.138,78.633,1.793188501,-89.16922149,0.629,0.336,159.819,1.511762217,-91.81950553,2.1775,0.421,102.402,0.847171765,119.4093315,2.013,64.439,0.341,0.046,0.423,-0.022,-0.255,0.463,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV007,R,2018-05-03T11:16:00Z,NA,-1.8755,1.883,1.069,1.669946406,-101.5723541,-1.6465,2.079,178.283,1.493028131,-105.0228807,0.863,1.452,176.904,0.565650952,105.9036554,1.885,64.588,0.262,0.043,0.396,-0.078,-0.247,0.239,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV007,R,2018-05-03T11:13:00Z,NA,-1.875,1.882,1.044,1.692274505,-102.5251354,-1.647,2.08,178.316,1.533655111,-105.6221003,0.8625,1.451,176.815,0.535081302,108.9767367,1.884,64.584,0.253,0.043,0.403,-0.08,-0.237,0.237,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV007,R,2018-05-03T11:12:00Z,NA,-1.8785,1.885,1.047,1.658609357,-100.8424711,-1.6475,2.077,178.303,1.500337629,-103.8046905,0.8645,1.453,176.925,0.53149318,102.9380563,1.888,64.575,0.258,0.042,0.401,-0.085,-0.232,0.233,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,DDV009,R,2018-05-03T11:20:00Z,NA,1.581,0.438,131.287,2.992032754,-89.73190673,1.922,0.742,135.789,1.449602014,-83.06618132,3.5685,0.837,115.036,2.840077816,98.48388118,2.828,64.191,0.063,0.022,0.174,0.031,-0.137,-0.386,test,Made by Essilor in Creteil
